lastSpellID,secondLastSpellID,thirdLastSpellID,timeSinceLastCast,nameplateCount,secondaryResource,secondaryResourceMax,blizzardRecommendation,combatDuration,specID,target_spellID
257541,108853,44457,1.41,6,0,5,153561,209.0,63,257541
108853,2120,257541,1.79,3,0,5,257541,8.9,63,257541
190319,2120,257541,2.6,4,5,5,2120,70.8,63,2120
108853,2948,11366,0.7,4,2,5,2120,209.6,63,2120
108853,257541,382440,1.91,1,0,5,133,82.9,63,133
2120,190319,382440,2.03,3,1,5,108853,101.6,63,257541
257541,133,108853,1.85,2,5,5,153561,186.3,63,153561
257541,153561,190319,0.91,8,3,5,2120,36.6,63,2120
11366,2948,2948,2.21,1,5,5,11366,75.8,63,11366
257541,2948,133,2.02,3,4,5,382440,227.8,63,11366
257541,382440,2120,1.19,4,0,5,257541,247.6,63,2120
133,2120,11366,1.84,3,2,5,11366,178.4,63,2948
190319,382440,153561,3.0,7,1,5,11366,83.7,63,11366
190319,133,153561,1.68,3,0,5,2948,33.2,63,2948
2120,108853,2948,0.79,5,1,5,11366,186.6,63,11366
108853,190319,2120,0.64,1,0,5,153561,215.3,63,153561
133,11366,133,0.94,1,5,5,2948,15.8,63,2948
133,11366,2948,1.77,5,1,5,11366,289.8,63,2120
382440,190319,2948,0.64,1,1,5,153561,270.3,63,257541
2948,190319,153561,0.88,8,1,5,257541,157.5,63,153561
11366,2948,44457,2.48,1,0,5,2948,39.7,63,2948
257541,190319,190319,1.14,1,1,5,153561,296.2,63,153561
108853,153561,2120,2.96,1,3,5,133,289.7,63,133
11366,257541,11366,0.78,1,1,5,257541,140.7,63,11366
11366,11366,257541,2.69,2,5,5,2948,101.6,63,2948
2120,190319,108853,0.91,1,0,5,153561,82.4,63,153561
2948,257541,257541,1.25,6,2,5,190319,162.9,63,190319
108853,382440,153561,0.88,1,2,5,11366,231.6,63,11366
44457,108853,44457,0.71,4,5,5,133,68.1,63,11366
382440,133,382440,1.4,5,3,5,2120,80.8,63,2120
2948,133,108853,2.66,1,0,5,11366,66.4,63,11366
133,11366,257541,1.12,2,1,5,382440,100.2,63,2948
11366,44457,108853,1.83,1,3,5,133,68.9,63,11366
11366,2948,190319,2.44,3,5,5,190319,198.6,63,190319
2948,382440,108853,0.8,6,3,5,190319,255.1,63,190319
2120,108853,153561,0.58,7,3,5,153561,287.0,63,382440
382440,44457,382440,0.75,3,5,5,190319,187.0,63,190319
2120,108853,133,0.8,1,0,5,11366,256.3,63,382440
190319,190319,133,0.52,8,3,5,2120,278.2,63,2120
108853,44457,2948,2.33,1,3,5,153561,197.8,63,153561
11366,153561,257541,2.5,1,0,5,44457,279.5,63,257541
2948,44457,153561,1.2,3,0,5,11366,180.7,63,11366
153561,257541,44457,1.25,1,1,5,2948,139.7,63,2948
382440,11366,257541,1.83,1,1,5,108853,148.9,63,108853
257541,108853,153561,2.35,5,4,5,2120,241.6,63,2120
2120,44457,108853,1.53,7,4,5,2120,43.8,63,2120
11366,257541,2948,2.28,1,1,5,2948,299.6,63,2948
108853,257541,257541,0.81,8,0,5,153561,52.5,63,153561
44457,257541,11366,2.34,1,5,5,2948,255.6,63,2948
382440,382440,190319,0.96,7,2,5,2120,45.1,63,2120
133,153561,133,1.61,2,5,5,382440,48.0,63,190319
133,257541,108853,2.92,1,0,5,153561,229.3,63,11366
2948,2120,190319,2.3,6,5,5,257541,175.6,63,382440
153561,190319,153561,1.53,7,2,5,133,103.3,63,133
2120,153561,11366,2.65,3,5,5,153561,229.8,63,108853
108853,133,190319,1.22,4,3,5,2120,106.6,63,2120
190319,133,257541,2.09,1,0,5,382440,181.8,63,382440
382440,133,108853,2.65,7,0,5,2120,292.7,63,2120
133,108853,153561,1.08,1,3,5,257541,207.7,63,257541
257541,190319,153561,1.74,7,1,5,133,74.4,63,133
2948,108853,257541,1.31,4,4,5,153561,282.1,63,2120
133,153561,382440,2.13,5,0,5,190319,246.5,63,190319
153561,257541,2948,1.61,3,1,5,257541,148.4,63,257541
11366,108853,44457,1.88,1,4,5,108853,29.7,63,108853
153561,11366,2948,2.01,1,1,5,108853,132.8,63,108853
382440,153561,11366,1.6,5,5,5,153561,34.7,63,153561
190319,11366,2120,2.31,2,0,5,2948,152.2,63,2948
382440,153561,108853,1.69,7,3,5,44457,223.4,63,153561
44457,382440,11366,2.88,5,3,5,2120,47.0,63,2120
108853,44457,190319,0.92,1,3,5,257541,116.3,63,257541
257541,133,153561,2.72,3,3,5,257541,29.0,63,257541
382440,190319,153561,0.57,5,5,5,153561,281.6,63,153561
133,2120,190319,0.71,5,3,5,108853,70.0,63,108853
133,44457,382440,1.61,1,5,5,2120,165.5,63,2948
153561,44457,44457,1.02,3,4,5,257541,57.7,63,257541
190319,2120,44457,0.95,1,1,5,11366,174.6,63,11366
190319,2120,382440,0.89,8,1,5,2948,158.0,63,2948
133,108853,190319,2.82,5,5,5,133,81.9,63,133
108853,108853,11366,2.95,2,0,5,2948,243.5,63,2948
257541,11366,108853,1.61,8,1,5,11366,70.3,63,11366
382440,133,257541,2.54,2,0,5,257541,109.3,63,257541
153561,44457,108853,0.72,8,5,5,2120,89.8,63,2120
44457,190319,2120,2.43,2,4,5,257541,131.4,63,257541
133,11366,108853,1.75,2,5,5,190319,34.4,63,190319
382440,44457,11366,1.96,2,5,5,382440,144.0,63,382440
153561,153561,11366,1.39,2,3,5,2120,45.1,63,190319
133,44457,257541,2.84,8,3,5,108853,259.9,63,108853
2120,133,153561,1.54,7,0,5,2948,236.5,63,2948
108853,133,382440,0.6,2,5,5,2948,293.2,63,2948
382440,190319,2948,1.81,7,0,5,44457,22.0,63,2948
44457,2948,382440,1.1,3,2,5,257541,10.2,63,257541
108853,44457,44457,0.71,1,0,5,190319,86.7,63,190319
44457,382440,2120,2.18,6,3,5,257541,2.3,63,2120
11366,2120,2120,1.48,3,3,5,382440,293.1,63,382440
2948,382440,44457,2.88,2,4,5,382440,192.6,63,382440
108853,2120,2120,2.34,3,1,5,382440,217.7,63,382440
11366,2948,11366,0.76,1,4,5,190319,88.5,63,190319
2948,190319,382440,2.1,1,2,5,382440,242.9,63,133
108853,2120,382440,2.55,5,0,5,2948,211.7,63,2948
257541,382440,44457,2.88,4,2,5,11366,152.4,63,11366
44457,2948,382440,1.38,4,0,5,108853,76.6,63,190319
44457,190319,44457,1.42,1,1,5,2948,295.1,63,2948
11366,11366,2120,2.89,2,4,5,382440,44.4,63,382440
108853,108853,190319,2.95,3,3,5,108853,263.2,63,108853
382440,257541,257541,2.55,4,5,5,11366,260.8,63,11366
108853,2948,257541,2.35,2,3,5,257541,85.9,63,108853
382440,11366,133,1.92,1,5,5,382440,146.7,63,382440
133,190319,2120,1.87,6,1,5,2120,81.8,63,2120
190319,2120,133,1.01,1,3,5,11366,187.0,63,11366
108853,2948,108853,1.84,1,2,5,190319,106.9,63,190319
